ID,PersonID,age,THATS HHID,gender,hhincome,working distance,Choice situation,drv_time,drv_cost,park_cost,pt_time,pt_cost,pt_wait,rhs_time,rhs_cost,rhs_wait,bs_time,bs_cost,bs_walk,walk_time,bic_time,bicpt_bic_time,bicpt_time,bicpt_cost,bicpt_wait,drpt_drv_time,drpt_drv_cost,drpt_park_cost,drpt_time,drpt_cost,drpt_wait,rhspt_time,rhspt_cost,rhspt_wait,rhspt_rhs_time,rhspt_rhs_cost,rhspt_rhs_wait,bspt_time,bspt_cost,bspt_wait,bspt_bs_time,bspt_bs_cost,bspt_bs_walk,ptrs_time,ptrs_cost,ptrs_wait,ptrs_rhs_time,ptrs_rhs_cost,ptrs_rhs_wait,ptbs_time,ptbs_cost,ptbs_wait,ptbs_bs_time,ptbs_bs_cost,ptbs_bs_walk,bpr_time,bpr_cost,bpr_wait,bpr_rhs_time,bpr_rhs_cost,bpr_rhs_wait,bpr_bic_time,dpr_time,dpr_cost,dpr_wait,dpr_rhs_time,dpr_rhs_cost,dpr_rhs_wait,dpr_drv_time,dpr_drv_cost,dpr_park_cost,bspr_time,bspr_cost,bspr_wait,bspr_rhs_time,bspr_rhs_cost,bspr_rhs_wait,bspr_bs_time,bspr_bs_cost,bspr_bs_walk,rpr_time,rpr_cost,rpr_wait,rpr_rhs_time,rpr_rhs_cost,rpr_rhs_wait,rpr_rhs2_time,rpr_rhs2_cost,rpr_rhs2_wait,bpbs_time,bpbs_cost,bpbs_wait,bpbs_bs_time,bpbs_bs_cost,bpbs_bs_walk,bpbs_bic_time,dpbs_time,dpbs_cost,dpbs_wait,dpbs_bs_time,dpbs_bs_cost,dpbs_bs_walk,dpbs_drv_time,dpbs_drv_cost,dpbs_drv_park,rpbs_time,rpbs_cost,rpbs_wait,rpbs_bs_time,rpbs_bs_cost,rpbs_bs_walk,rpbs_rhs_time,rpbs_rhs_cost,rpbs_rhs_wait,bspbs_time,bspbs_cost,bspbs_wait,bspbs_bs1_time,bspbs_bs1_cost,bspbs_bs1_walk,bspbs_bs2_time,bspbs_bs2_cost,bspbs_bs2_walk,Block,SP distance (km),scenario,av_Bic_PT,av_Drv_PT,av_RHS_PT,av_BS_PT,av_PT_RHS,av_PT_BS,av_Bic_PT_RHS,av_Drv_PT_RHS,av_BS_PT_RHS,av_RHS_PT_RHS,av_Bic_PT_BS,av_Drv_PT_BS,av_RHS_PT_BS,av_BS_PT_BS,av_Drv_PT.1,av_Drv_PT_BS.1,index,rounds,experiment,av_Bic,av_PT,av_RHS,av_BS,av_Drv,av_Walk,choice,leisure,shopping,working,distance,transfer,round diff,choicediff,carryover
13951,1000101,6,10001,1,4,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,3.6,3.3,10,0.693333333,0.216,10,3.6,3.3,10,3.6,3.3,10,0.602666667,9.205,8,3.6,3.3,5,1.2,3.25,8,3.6,3.3,10,1.024533333,7.364,2,3.6,3.3,15,1.6,3.25,5,2.7,3.3,10,0.602666667,9.205,8,1.6,3.15,3.3,15,0.783466667,11.046,8,0.693333333,0.144,15,2.7,3.3,10,0.602666667,9.205,2,1.6,3.25,5,1.62,3.3,5,0.783466667,9.205,5,1.024533333,7.364,2,1.62,3.3,5,1.2,3.25,8,1.6,2.7,3.3,10,1.6,3.25,5,0.906666667,0.216,5,2.7,3.3,10,1.6,3.25,5,0.602666667,7.364,8,2.7,3.3,5,2,3.25,8,2,3.25,2,1,2,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,5,2,2,0,0,0,0,0,0,5,0,0,1,2,1,1,0,0
13952,1000101,6,10001,1,4,2,7,2.666666667,1.08,5,4.5,3.3,5,3.917333333,11.525,8,6,3.25,2,30,8,1.6,3.6,3.3,10,0.693333333,0.216,10,3.6,3.3,10,3.6,3.3,10,0.602666667,9.205,8,3.6,3.3,5,1.2,3.25,8,3.6,3.3,10,1.024533333,7.364,2,3.6,3.3,15,1.6,3.25,5,2.7,3.3,10,0.602666667,9.205,8,1.6,3.15,3.3,15,0.783466667,11.046,8,0.693333333,0.144,15,2.7,3.3,10,0.602666667,9.205,2,1.6,3.25,5,1.62,3.3,5,0.783466667,9.205,5,1.024533333,7.364,2,1.62,3.3,5,1.2,3.25,8,1.6,2.7,3.3,10,1.6,3.25,5,0.906666667,0.216,5,2.7,3.3,10,1.6,3.25,5,0.602666667,7.364,8,2.7,3.3,5,2,3.25,8,2,3.25,2,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,1,2,0,1,1,1,0,1,14,0,0,1,2,0,-1,9,0
13953,1000101,6,10001,1,4,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,2.16,3.3,5,0.906666667,0.216,5,2.16,3.3,5,4.2,3.3,15,0.783466667,11.046,5,2.16,3.3,5,1.2,3.25,2,4.2,3.3,15,0.783466667,11.046,5,3.6,3.3,10,1.6,3.25,5,3.15,3.3,15,1.024533333,11.046,5,2,2.7,3.3,10,0.783466667,9.205,5,0.693333333,0.144,10,3.15,3.3,15,1.024533333,11.046,8,2,3.25,8,3.15,3.3,15,0.602666667,7.364,8,1.024533333,11.046,5,2.7,3.3,10,1.6,3.25,5,1.6,3.15,3.3,15,2,3.25,8,0.906666667,0.144,15,3.15,3.3,15,2,3.25,8,1.024533333,11.046,8,2.7,3.3,10,1.6,3.25,5,1.6,3.25,5,1,2,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,8,2,3,0,0,0,0,0,0,17,0,0,1,2,1,1,3,0
13954,1000101,6,10001,1,4,2,9,3.466666667,0.72,10,2.7,3.3,5,5.122666667,13.83,8,8,3.25,5,36,6,1.2,2.16,3.3,5,0.906666667,0.216,5,2.16,3.3,5,4.2,3.3,15,0.783466667,11.046,5,2.16,3.3,5,1.2,3.25,2,4.2,3.3,15,0.783466667,11.046,5,3.6,3.3,10,1.6,3.25,5,3.15,3.3,15,1.024533333,11.046,5,2,2.7,3.3,10,0.783466667,9.205,5,0.693333333,0.144,10,3.15,3.3,15,1.024533333,11.046,8,2,3.25,8,3.15,3.3,15,0.602666667,7.364,8,1.024533333,11.046,5,2.7,3.3,10,1.6,3.25,5,1.6,3.15,3.3,15,2,3.25,8,0.906666667,0.144,15,3.15,3.3,15,2,3.25,8,1.024533333,11.046,8,2.7,3.3,10,1.6,3.25,5,1.6,3.25,5,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,1,3,0,1,1,1,0,1,19,0,0,1,2,0,-1,2,0
13955,1000101,6,10001,1,4,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2.16,3.3,5,0.693333333,0.144,10,4.2,3.3,15,4.2,3.3,15,0.783466667,9.205,5,3.6,3.3,10,1.6,3.25,5,4.2,3.3,15,1.024533333,9.205,5,3.6,3.3,5,1.2,3.25,5,3.15,3.3,15,0.783466667,9.205,5,2,2.7,3.3,10,0.602666667,9.205,5,0.693333333,0.072,10,3.15,3.3,15,0.783466667,11.046,5,2,3.25,8,2.7,3.3,15,0.602666667,9.205,2,0.783466667,9.205,5,3.15,3.3,10,1.6,3.25,5,1.2,3.15,3.3,15,2,3.25,8,0.693333333,0.144,15,3.15,3.3,15,2,3.25,8,0.783466667,9.205,5,2.7,3.3,10,1.2,3.25,2,1.6,3.25,5,1,2,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,11,2,4,0,0,0,0,0,0,5,0,0,1,2,1,1,-14,0
13956,1000101,6,10001,1,4,2,10,4.533333333,0.36,5,2.7,3.3,10,3.917333333,13.83,5,8,3.25,5,36,6,2,2.16,3.3,5,0.693333333,0.144,10,4.2,3.3,15,4.2,3.3,15,0.783466667,9.205,5,3.6,3.3,10,1.6,3.25,5,4.2,3.3,15,1.024533333,9.205,5,3.6,3.3,5,1.2,3.25,5,3.15,3.3,15,0.783466667,9.205,5,2,2.7,3.3,10,0.602666667,9.205,5,0.693333333,0.072,10,3.15,3.3,15,0.783466667,11.046,5,2,3.25,8,2.7,3.3,15,0.602666667,9.205,2,0.783466667,9.205,5,3.15,3.3,10,1.6,3.25,5,1.2,3.15,3.3,15,2,3.25,8,0.693333333,0.144,15,3.15,3.3,15,2,3.25,8,0.783466667,9.205,5,2.7,3.3,10,1.2,3.25,2,1.6,3.25,5,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12,1,4,0,1,1,1,0,1,19,0,0,1,2,0,-1,14,0
338,1000102,6,10001,2,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.6,3.3,5,4.098133,8.756,2,4.8,10.8,3.3,10,3.133867,10.945,5,2.133333,0.288,10,6.48,3.3,5,2.410667,8.756,8,4.8,3.25,2,6.48,3.3,5,3.133867,8.756,2,2.410667,8.756,8,6.48,3.3,5,4.8,3.25,8,8,10.8,3.3,10,6.4,3.25,5,2.133333,0.288,10,6.48,3.3,5,4.8,3.25,2,4.098133,8.756,2,6.48,3.3,15,4.8,3.25,5,8,3.25,2,2,8,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,3,1,0,0,0,0,0,0,10,0,1,0,8,2,2,-9,0
339,1000102,6,10001,2,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4,16.8,3.3,15,3.626667,0.288,10,14.4,3.3,10,14.4,3.3,10,3.133867,10.945,8,8.64,3.3,15,8,3.25,2,8.64,3.3,5,4.098133,8.756,8,8.64,3.3,10,4.8,3.25,8,12.6,3.3,5,4.098133,8.756,2,4.8,10.8,3.3,10,3.133867,10.945,5,2.133333,0.288,10,6.48,3.3,5,2.410667,8.756,8,4.8,3.25,2,6.48,3.3,5,3.133867,8.756,2,2.410667,8.756,8,6.48,3.3,5,4.8,3.25,8,8,10.8,3.3,10,6.4,3.25,5,2.133333,0.288,10,6.48,3.3,5,4.8,3.25,2,4.098133,8.756,2,6.48,3.3,15,4.8,3.25,5,8,3.25,2,2,8,2,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,2,2,1,0,0,0,0,0,0,1,0,1,0,8,1,-1,-9,0
340,1000102,6,10001,2,4,1,1,10.66667,1.44,15,21,3.3,10,12.05333,20.225,2,40,3.25,2,96,40,6.4,16.8,3.3,15,3.626667,0.288,10,14.4,3.3,10,14.4,3.3,10,3.133867,10.945,8,8.64,3.3,15,8,3.25,2,8.64,3.3,5,4.098133,8.756,8,8.64,3.3,10,4.8,3.25,8,12.6,3.3,5,4.098133,8.756,2,4.8,10.8,3.3,10,3.133867,10.945,5,2.133333,0.288,10,6.48,3.3,5,2.410667,8.756,8,4.8,3.25,2,6.48,3.3,5,3.133867,8.756,2,2.410667,8.756,8,6.48,3.3,5,4.8,3.25,8,8,10.8,3.3,10,6.4,3.25,5,2.133333,0.288,10,6.48,3.3,5,4.8,3.25,2,4.098133,8.756,2,6.48,3.3,15,4.8,3.25,5,8,3.25,2,2,8,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,1,0,1,0,0,2,0,1,0,8,0,-1,1,0
341,1000102,6,10001,2,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.6,3.3,15,3.133867,13.134,5,8,12.6,3.3,15,4.098133,13.134,8,3.626667,0.576,15,12.6,3.3,15,4.098133,13.134,5,8,3.25,8,10.8,3.3,15,2.410667,13.134,8,3.133867,13.134,5,10.8,3.3,10,6.4,3.25,8,4.8,12.6,3.3,15,8,3.25,8,3.626667,0.576,15,12.6,3.3,15,8,3.25,8,3.133867,13.134,5,10.8,3.3,10,8,3.25,8,6.4,3.25,5,2,8,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,4,3,2,0,0,0,0,0,0,18,0,1,0,8,2,2,16,0
